id	af	s	gen	h	1000_rep0_dom.hs_segr.txt
1993655	1	-0.121811	9964	0.0705166	1005_rep4_dom.hs_segr.txt
2000518	1	-0.012303	9999	0.309569	1005_rep4_dom.hs_segr.txt
1924250	44	-0.00135432	9618	0.468289	1005_rep4_dom.hs_segr.txt
1995367	1	-0.111155	9972	0.0762458	1005_rep4_dom.hs_segr.txt
1981138	3	-0.0441214	9901	0.155954	1005_rep4_dom.hs_segr.txt
1974462	1	-0.00895679	9868	0.345342	1005_rep4_dom.hs_segr.txt
1994041	1	-0.113174	9966	0.0750899	1005_rep4_dom.hs_segr.txt
1939743	16	-0.00430152	9695	0.411497	1005_rep4_dom.hs_segr.txt
1998560	2	-0.0176002	9989	0.265956	1005_rep4_dom.hs_segr.txt
1967134	6	-0.00587514	9832	0.386471	1005_rep4_dom.hs_segr.txt
1998400	2	-0.010946	9988	0.323143	1005_rep4_dom.hs_segr.txt
1988476	1	-0.0200092	9938	0.249943	1005_rep4_dom.hs_segr.txt
1958646	3	-0.0181668	9789	0.262008	1005_rep4_dom.hs_segr.txt
1998495	1	-0.00704178	9989	0.369798	1005_rep4_dom.hs_segr.txt
1968592	1	-0.0135186	9839	0.298342	1005_rep4_dom.hs_segr.txt
1861621	51	-0.00765178	9304	0.36164	1005_rep4_dom.hs_segr.txt
1989369	4	-0.0105925	9942	0.326878	1005_rep4_dom.hs_segr.txt
1925525	36	-0.00207971	9624	0.452904	1005_rep4_dom.hs_segr.txt
1984045	6	-0.251466	9915	0.0368371	1005_rep4_dom.hs_segr.txt
1985972	3	-0.0403152	9925	0.165796	1005_rep4_dom.hs_segr.txt
1998828	1	-0.00713952	9990	0.368466	1005_rep4_dom.hs_segr.txt
1996057	1	-0.0813421	9976	0.0986757	1005_rep4_dom.hs_segr.txt
1972838	1	-0.0123256	9860	0.309352	1005_rep4_dom.hs_segr.txt
1992721	1	-0.17783	9959	0.0505485	1005_rep4_dom.hs_segr.txt
1941389	7	-0.0282744	9703	0.207149	1005_rep4_dom.hs_segr.txt
1986383	1	-0.107152	9927	0.0786458	1005_rep4_dom.hs_segr.txt
1993741	1	-0.0234727	9964	0.23003	1005_rep4_dom.hs_segr.txt
1992891	3	-0.0205825	9960	0.246411	1005_rep4_dom.hs_segr.txt
1917664	46	-0.00621804	9586	0.381417	1005_rep4_dom.hs_segr.txt
1995867	1	-0.0397469	9975	0.167373	1005_rep4_dom.hs_segr.txt
1999501	1	-0.0394186	9994	0.168298	1005_rep4_dom.hs_segr.txt
1947224	2	-0.0419821	9732	0.161337	1005_rep4_dom.hs_segr.txt
1990556	1	-0.0478952	9948	0.147286	1005_rep4_dom.hs_segr.txt
1967011	2	-0.0270045	9831	0.212745	1005_rep4_dom.hs_segr.txt
1992857	1	-0.0222225	9960	0.236841	1005_rep4_dom.hs_segr.txt
1988253	1	-0.0228455	9937	0.233397	1005_rep4_dom.hs_segr.txt
1988526	6	-0.0132682	9938	0.300588	1005_rep4_dom.hs_segr.txt
1938192	1	-0.0158362	9688	0.279047	1005_rep4_dom.hs_segr.txt
1936226	5	-0.00305533	9678	0.433739	1005_rep4_dom.hs_segr.txt
1895018	4	-0.0518817	9472	0.139117	1005_rep4_dom.hs_segr.txt
1971643	3	-0.0286525	9853	0.205539	1005_rep4_dom.hs_segr.txt
1978443	4	-0.00998146	9887	0.33354	1005_rep4_dom.hs_segr.txt
1982227	2	-0.0542164	9906	0.134741	1005_rep4_dom.hs_segr.txt
1995283	1	-0.0157255	9972	0.279912	1005_rep4_dom.hs_segr.txt
1997200	1	-0.0299434	9982	0.200227	1005_rep4_dom.hs_segr.txt
1999404	1	-0.0113593	9993	0.318884	1005_rep4_dom.hs_segr.txt
1972134	2	-0.0153129	9856	0.283183	1005_rep4_dom.hs_segr.txt
1959023	11	-0.0383341	9791	0.171426	1005_rep4_dom.hs_segr.txt
1991824	1	-0.00745402	9955	0.364245	1005_rep4_dom.hs_segr.txt
1972949	4	-0.00125364	9860	0.470508	1005_rep4_dom.hs_segr.txt
1974620	1	-0.0375459	9868	0.173774	1005_rep4_dom.hs_segr.txt
1953449	11	-0.0143126	9763	0.291438	1005_rep4_dom.hs_segr.txt
1899048	11	-0.0278242	9492	0.209099	1005_rep4_dom.hs_segr.txt
1995384	3	-0.0374987	9973	0.173917	1005_rep4_dom.hs_segr.txt
1997850	1	-0.0238982	9985	0.2278	1005_rep4_dom.hs_segr.txt
1994233	3	-0.180054	9967	0.0499865	1005_rep4_dom.hs_segr.txt
1942054	5	-0.0277535	9707	0.209409	1005_rep4_dom.hs_segr.txt
1934603	16	-0.00581757	9670	0.387333	1005_rep4_dom.hs_segr.txt
1977043	2	-0.529096	9880	0.0182117	1005_rep4_dom.hs_segr.txt
1981259	4	-0.0138238	9901	0.29565	1005_rep4_dom.hs_segr.txt
1975882	2	-0.00143756	9875	0.466471	1005_rep4_dom.hs_segr.txt
2000659	1	-0.0185591	10000	0.259342	1005_rep4_dom.hs_segr.txt
1955780	2	-0.0154499	9775	0.282088	1005_rep4_dom.hs_segr.txt
1995604	1	-0.0281514	9974	0.207678	1005_rep4_dom.hs_segr.txt
1905774	73	-0.000727454	9526	0.482452	1005_rep4_dom.hs_segr.txt
1997868	1	-0.00760735	9985	0.362222	1005_rep4_dom.hs_segr.txt
1966255	2	-0.0139574	9827	0.294486	1005_rep4_dom.hs_segr.txt
